Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@615761915 (AirWatch Browser v3.0.0.60)
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i686; en-US; rv:24.0) Gecko/20100101 (No IDN) Firefox/24.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Iridium/43.8 Safari/537.36 Chrome/43.0.2357.132
Mozilla/5.0 (X11; U; OpenBSD amd64; pl-PL; rv:1.9b1) Gecko/20090910 Firefox/3.0.14
Mozilla/5.0 (X11; OpenBSD amd64; rv:55.0) Gecko/20100101 Firefox/55.0
Mozilla/5.0 (X11; OpenBSD macppc; rv:18.0) Gecko/20100101 Firefox/32.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/0049F8
Mozilla/5.0 (X11; OpenBSD i386; rv:38.0) Gecko/20100101 Firefox/38.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:41.0) Gecko/20100101 Firefox/41.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:29.0) Gecko/20100101 Firefox/29.0 SeaMonkey/2.26.1
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:40.0) Gecko/20100101 Firefox/40.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9.2.13) Gecko/20110216 Firefox/3.6.13
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:30.0) Gecko/20100101 Firefox/30.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:9.0.1) Gecko/20100101 Firefox/9.0.1
Mozilla/5.0 (X11; U; OpenBSD amd64; rv:9.0) Gecko/20121201 Firefox/9.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:54.0) Gecko/20100101 Firefox/54.0
Mozilla/5.0 (X11; OpenBSD i386; rv:43.0) Gecko/20100101 Firefox/43.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:24.0) Gecko/20100101 Firefox/24.0
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Iridium/47.0 Safari/537.36 Chrome/47.0.2526.106
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:2.0) Gecko/20100101 Firefox/4.0 Opera 12.16
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD sparc64; pl-PL; rv:1.8.0.2) Gecko/20060429 Firefox/52.0.2
Mozilla/5.0 (X11; U; OpenBSD i386; es-ES; rv:1.9.2.20) Gecko/20110803 Firefox/3.6.20
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:40.0) Gecko/20100101 Firefox/40.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/604.1 (KHTML, like Gecko) Version/11.0 Safari/604.1 Surf/2.0
Links (2.2_7; OpenBSD 4.8 i386; 120x40)
Opera/9.80 (X11; OpenBSD i386; U; en) Presto/2.2.15 Version/10.11
Mozilla/5.0 (X11; U; OpenBSD amd64; en-US; rv:1.9.2.28) Gecko/20140213 Firefox/3.6.28
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:24.0) Gecko/20100101 Firefox/24.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/538.15 (KHTML, like Gecko) Version/8.0 Safari/538.15 dwb/2014.11.19
Mozilla/5.0 (X11; OpenBSD i386; rv:36.0) Gecko/20100101 SeaMonkey/2.33.1
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/A169B5
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:43.0) Gecko/20100101 Firefox/43.0 SeaMonkey/17D8
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.114 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9.0.6) Gecko/2009030117 Firefox/3.0.6
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Iridium/49.0 Safari/537.36 Chrome/49.0.2623.75
Mozilla/5.0 (X11; OpenBSD amd64; rv:13.0) Gecko/20100101 Firefox/13.0.1
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:25.0) Gecko/20100101 Firefox/25.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.86 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/535.22+ (KHTML, like Gecko) Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.22+
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/ADCD3F
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.155 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/5271E2
Mozilla/5.0 (X11; OpenBSD amd64; rv:51.0) Gecko/20100101 Firefox/51.0
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.86 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:35.0) Gecko/20100101 Firefox/35.0 SeaMonkey/2.32 Lightning/3.7
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/535.22+ (KHTML, like Gecko) Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.22+ 1.1.1+
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9.0.11) Gecko/2010070617 Firefox/3.0.11
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/538.15 (KHTML, like Gecko) Version/8.0 Safari/538.15 dwb/2015.03.07
Mozilla/5.0 (X11; U; OpenBSD amd64; he; rv:1.9.0.9) Gecko/20070817 Firefox/2.0.0.6
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:43.0) Gecko/20100101 Firefox/43.0 SeaMonkey/8D69
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:45.1.0) Gecko/20100101 Firefox/45.1.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:13.0) Gecko/20120803 Firefox/13.0.1 SeaMonkey/2.10.1
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD amd64; en-US; rv:1.9.2.13) Gecko/20110223 Firefox/3.6.13
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9.0.11) Gecko/2009070118 Firefox/3.0.11
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9.2.28) Gecko/20120803 Firefox/3.6.28
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386; rv:19.0) Gecko/20100101 Firefox/19.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/DDCE61
Mozilla/5.0 (X11; U; OpenBSD i686; en-US; rv:26.0) Gecko/20100101 (No IDN) Firefox/26.0
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.45 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:46) Gecko/20100101 Firefox/46.0
Mozilla/5.0 (X11; OpenBSD i386; rv:70.0) Gecko/20100101 Firefox/70.0
Mozilla/5.0 (X11; U; OpenBSD i386; sv-SE) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/5.0.359.0 Safari/533.3
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.7.0.13) Gecko/20060901
mozilla/5.0 ( openbsd amd64; rv:58.0) gecko/20100101 firefox/58.0
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Safari/605.1.15 Surf/2.0
Mozilla/5.0 (X11; U; OpenBSD i686) AppleWebKit/538.15 (KHTML, like Gecko) Chrome/18.0.1025.133 Safari/538.15 Midori/0.5
Mozilla/5.0 (X11; U; OpenBSD i686) AppleWebKit/533.3 (KHTML, like Gecko) Qupzilla/1.1.5
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3282.140 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3282.140 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:45.0) Gecko/20100723 Firefox/45.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:47.0) Gecko/20100723 Firefox/47.0
netscape, openbsd,
Mozilla/5.0 (X11; OpenBSD amd64; rv:49.0) Gecko/20100101 Firefox/66.0
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.8.0.5) Gecko/20070725 Firefox/2.0.0.5
Mozilla/5.0 (X11; OpenBSD amd64; rv:52.0) Gecko/20100101 Firefox/52.0 SeaMonkey/2.49.4
Links (2.18; OpenBSD 6.4 i386; LLVM/Clang 7.0.1; x)
Mozilla/5.0 (OpenBSD) Chrome/75
Mozilla/5.0 (OpenBSD) Chrome/74
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/605.1.15(KHTML, like Gecko) Version/11.0 Safari/605.1.15 Vimb/3.2
Mozilla/5.0 (X11; OpenBSD amd64;) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/50.0.2840.71 Safari/534.36
Mozilla/5.0 (X11; U; OpenBSD ppc; en-US; rv:1.8.0.10) Gecko/20070223 Firefox/52.4.1
Mozilla/5.0 (X11; U; OpenBSD amd64; en-US; rv:1.8.1.6) Chrome/36.0.1944.0 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64; rv:49.0) Gecko/20100723 Firefox/49.0
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100Safari/537.36
Links (2.17; OpenBSD 6.4 amd64; LLVM/Clang 6.0; x)
Mozilla/5.0 (X11; U; OpenBSD macppc; rv:1.8.1) Gecko/20070222 Minimo/0.016
Mozilla/5.0 (X11; U; OpenBSD i686) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36 proxy=186.96.122.91:53281
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36 --proxy-server=186.96.122.91:53281
Mozilla/5.0 (X11; OpenBSD; TrueOS x86_64; rv:61.0) Gecko/20100101 Firefox/61.0
Mozilla/5.0 (X11; TrueOS; OpenBSD x86_64; rv:61.0) Gecko/20100101 Firefox/61.0
Mozilla/5.0 (X11; OpenBSD; BSD x86_64; rv:61.0) Gecko/20100101 Firefox/61.0
Mozilla/5.0 (OpenBSD) AppleWebKit/10.1 (KHTML, like Gecko) Konqueror/5.0.97
Mozilla/5.0 (OpenBSD) AppleWebKit/10.1 (KHTML, like Gecko) Konqueror 5.0.97
Mozilla/5.0 (OpenBSD) AppleWebKit/10.1 (KHTML, like Gecko) Chrome/66.0.3359.181
Mozilla/5.0 (OpenBSD; rv:52.0) Gecko/20100101 Firefox/52.0
Mozilla/5.0 (compatible;Konqueror/4.1; OpenBSD) KHTML/4.1.4 (like Gecko)
Mozilla/5.0 (X11; U; OpenBSD i686; rv:48.0) Gecko/20100101 Firefox/48.0
Mozilla/5.0 (X11; U; OpenBSD i686; rv:1.9.2.9) Gecko/20100913 Firefox/3.6.9
Mozilla/5.0 (X11; OpenBSD x86_64; rv:57.0) Gecko/20100101 Firefox/57.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:56.0) Gecko/20160125 Firefox/56.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:49.0) Gecko/20100101 SeaMonkey/2.46
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:55) Gecko/20100101 Firefox/55.0
Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/41.0
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.1985.125 Safari/537.36
Mozilla/5.0 (X11; OpenBSD i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.0000 Safari/537.36
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883 Safari/537.36
Links (1.03; OpenBSD 6.0 i386; text)
Links (2.12; OpenBSD 6.0 i386; GNU C 4.2.1; x)
Mozilla/5.0 (X11; OpenBSD) AppleWebKit/538.1 (KHTML, like Gecko) Otter/0.9.11
Mozilla/5.0 (X11; OpenBSD x86_64; rv:45.0) Gecko/20140429 Firefox/45.0
Mozilla/5.0 (X11; OpenBSD) AppleWebKit/538.1 (KHTML, like Gecko) qutebrowser/0.8.4 Safari/538.1
Mozilla/5.0 (OpenBSD amd64) AppleWebKit/538.15+ (KHTML, like Gecko) WebKitGTK+/2.4.11 luakit
Links (2.12; OpenBSD 6.0 amd64; GNU C 4.2.1; x)
Mozilla/5.0 (X11; OpenBSD amd64; Trident/7.0; rv:11.0) like Gecko
NetSurf/3.5 (OpenBSD)
ELinks/0.11.7 (textmode; OpenBSD 6.0 i386; 80x25-2)
Mozilla/5.0 (X11; U; OpenBSD amd64; en-US; rv:1.9.2.13) Gecko/20110120 Firefox/3.6.13
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/602.1 (KHTML, like Gecko) Version/8.0 Safari/602.1 Epiphany/3.18.3
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36
Mozilla/5.0 (X11; OpenBSD macppc; rv:31.0) Gecko/20100101 Firefox/31.0
Mozilla/5.0 (X11; U; OpenBSD arm; en-us) AppleWebKit/531.2 (KHTML, like Gecko) Safari/531.2 Epiphany/2.30.0
Mozilla/5.0 (X11; U; OpenBSD i386; fr; rv:1.8.0.4) Gecko/20100315 Firefox/3.5.9
Mozilla/5.0 (X11; OpenBSD amd64; rv:35.0) Gecko/20100101 Firefox/35.0 SeaMonkey/2.32
Mozilla/5.0 (X11; OpenBSD; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Midori/0.5
Mozilla/5.0 (X11; U; OpenBSD i386; pl-PL; rv:1.9.0) Gecko/20090408 Firefox/3.0.9
Links (2.8; OpenBSD 5.6 loongson; GNU C 4.2.1; x)
Mozilla/5.0 (X11; OpenBSD amd64; rv:24.0) Gecko/20140304 conkeror/1.0pre
Opera/23.22 (X11; OpenBSD i386; U; en)
Mozilla/5.0 (X11; OpenBSD i386; rv:24.0) Gecko/20140304 conkeror/1.0pre
ELinks/0.11.7 (textmode; OpenBSD 5.6 macppc; 80x25-2)
Links (2.8; OpenBSD 5.6 i386; GNU C 4.2.1; x)
ELinks/0.11.7 (textmode; OpenBSD 5.6 macppc; 85x33-2)
Mozilla/5.0 (X11; U; OpenBSD amd64; en-GB; rv:1.8.0.6) Gecko/20080618 Firefox/3.0
Mozilla/5.0 (OpenBSD amd64) AppleWebKit/538.1+ (KHTML, like Gecko) WebKitGTK+/2.2.4 luakit/0d5f4
Mozilla5.0 (X11; OpenBSD amd64; rv28.0) Gecko20100101 Firefox28.0
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.9. 2.8) Gecko/20101230 Firefox/3.6.8
Mozilla/5.0 (X11; U; OpenBSD amd64; en-US; rv:1.7) Gecko/20090919 Firefox/3.5.3
Mozilla/5.0 (X11; OpenBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36
Mozilla/5.0 (X11; U; OpenBSD i386; fi-FI; rv:1.7.13) Gecko/20090401 Firefox/3.5b4pre
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.32 (KHTML, like Gecko) Chromium/25.0.1349.2 Chrome/25.0.1349.2 Safari/537.32 Epiphany/3.8.2
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.8.0.5) Gecko/20060819 Firefox/25.0
Opera/12.16 (X11; OpenBSD i386; U; en)
Mozilla/5.0 (X11; OpenBSD i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1453.116 Safari/537.36
Opera/9.80 (X11; OpenBSD i686; U; en) Presto/2.5.27 Version/10.60
Mozilla/5.0 (X11; U; OpenBSD i386; tr; rv:1.8.1b2) Gecko/20091014 Firefox/3.6b1
Mozilla/5.0 (X11; U; OpenBSD amd64; es-ES; rv:1.8.1) Gecko/20070309 Firefox/2.0.0.5
Mozilla/5.0 (X11; U; OpenBSD i386; nb-NO; rv:1.9.0.4) Gecko/20080000 Firefox/3.0
Mozilla/5.0 (X11; U; OpenBSD amd64; tr-TR; rv:1.9a1) Gecko/20071105 Firefox/2.0.0.9
Mozilla/5.0 (X11; U; OpenBSD amd64; ru-RU; rv:1.9b3) Gecko/20060819 Firefox/1.5.0.5
Mozilla/5.0 (X11; U; OpenBSD amd64; de; rv:1.9b4) Gecko/20070311 Firefox/2.0.0.1
Mozilla/5.0 (X11; U; OpenBSD i386; ru-RU; rv:1.8.0.3) Gecko/20050925 Firefox/1.0.4
Mozilla/5.0 (X11; U; OpenBSD i386; bg; rv:1.9.2b4) Gecko/20080722 Firefox/2.0.0.16
Mozilla/5.0 (X11; U; OpenBSD amd64; ca; rv:1.8.0.13pre) Gecko/20070531 Firefox/2.0.0.4
Mozilla/5.0 (X11; U; OpenBSD i386; fi-FI; rv:1.9pre) Gecko/20070224 Firefox/2.0.0.1
Mozilla/5.0 (X11; U; OpenBSD i386; he; rv:1.8.0.7) Gecko/20060214 Firefox/1.6a1
Mozilla/5.0 (X11; U; OpenBSD i386; ca; rv:1.9.0.16) Gecko/20060707 Firefox/2.0b1
Mozilla/5.0 (X11; U; OpenBSD amd64; hu; rv:1.8.16) Gecko/20070725 Firefox/2.0.0.6
Mozilla/5.0 (X11; U; OpenBSD amd64; en-GB; rv:1.8.1.3) Gecko/20100720 Firefox/3.0.6
Mozilla/5.0 (X11; U; OpenBSD amd64; fr-FR; rv:1.8.1.7) Gecko/20080702 Firefox/3.0.0
Mozilla/5.0 (X11; U; OpenBSD amd64; ko; rv:1.8.0.10pre) Gecko/20081013 Firefox/3.0.4pre
Mozilla/5.0 (X11; U; OpenBSD amd64; ko; rv:1.9.1b2pre) Gecko/20051106 Firefox/1.0.6
Mozilla/5.0 (X11; U; OpenBSD i386; ca; rv:1.8.0) Gecko/20090403 Firefox/1.1.16
Mozilla/5.0 (X11; U; OpenBSD amd64; cs-CZ; rv:1.8.1.5) Gecko/20081117 Firefox/3.0.4
Mozilla/5.0 (X11; U; OpenBSD amd64; pt-BR; rv:1.9b5) Gecko/20050711 Firefox/1.0.5
Mozilla/5.0 (X11; U; OpenBSD amd64; he; rv:1.9.0.5) Gecko/20061201 Firefox/2.0.0.14
Mozilla/5.0 (X11; U; OpenBSD i386; ko; rv:1.8.1.18) Gecko/20080622 Firefox/3.0.1pre
Mozilla/5.0 (X11; U; OpenBSD amd64; es-ES; rv:1.9.1.6) Gecko/20060916 Firefox/2.0b2
Mozilla/5.0 (X11; U; OpenBSD i386; nl-NL; rv:1.9.0.2) Gecko/20080429 Firefox/2.0.0.6
Mozilla/5.0 (X11; U; OpenBSD i386; pt-BR; rv:1.7.13) Gecko/20051218 Firefox/1.0.7
Mozilla/5.0 (X11; U; OpenBSD i386; pl-PL; rv:1.8.0.12) Gecko/20070515 Firefox/2.0.4
Mozilla/5.0 (X11; U; OpenBSD i386; hu; rv:1.9b4) Gecko/20090402 Firefox/3.6a1pre
Mozilla/5.0 (X11; U; OpenBSD amd64; tr; rv:1.9.1.6) Gecko/20060406 Firefox/1.5.0.2
Mozilla/5.0 (X11; U; OpenBSD amd64; cs-CZ; rv:1.9.1.1) Gecko/20081216 Firefox/3.0.6pre
Mozilla/5.0 (X11; U; OpenBSD amd64; fr; rv:1.9.1b2pre) Gecko/20080113 Firefox/3.0b3pre
Mozilla/5.0 (X11; U; OpenBSD i386; tr; rv:1.9.2.2) Gecko/20070807 Firefox/2.0.0.6
Mozilla/5.0 (X11; U; OpenBSD amd64; he; rv:1.8.16) Gecko/20060121 Firefox/1.6a1
Mozilla/5.0 (X11; U; OpenBSD i386; fa; rv:1.8.0.9) Gecko/20090116 Firefox/3.1
Mozilla/5.0 (X11; U; OpenBSD amd64; sv-SE; rv:1.9.1.1) Gecko/20060319 Firefox/2.0a1
Mozilla/5.0 (X11; U; OpenBSD i386; pl-PL; rv:1.9.1.9) Gecko/20071015 Firefox/2.0.0.8
Mozilla/5.0 (X11; U; OpenBSD i386; es-ES; rv:1.8.0.8) Gecko/20080403 Firefox/3.0pre
Mozilla/5.0 (X11; U; OpenBSD amd64; pt-BR; rv:1.9.2a1pre) Gecko/20060916 Firefox/2.0b2
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.8.1.16) Gecko/20080812 SeaMonkey/1.1.11
Mozilla/5.0 (X11; U; OpenBSD amd64; sv-SE; rv:1.9.1.10) Gecko/20060217 Firefox/1.6a1
Mozilla/5.0 (X11; U; OpenBSD ppc; en-US; rv:1.8.1.4) Gecko/20070223 BonEcho/2.0.0.4
ELinks/0.11.7 (textmode; OpenBSD 5.2 i386; 80x24-2)
Firefox/18.0 (X11; I; OpenBSD)
MSIE 10.0 (X11; I; OpenBSD 5.2 mipsel)
Mozilla/5.0 (X11; U; OpenBSD i386; rv:12.0) Gecko/20100101 Firefox/12.0
NetSurf/3.2 (OpenBSD)
Mozilla/5.0 (X11; OpenBSD amd64; rv:24.0) Gecko/20150807 conkeror/1.0pre
Links (2.9; OpenBSD 5.8 loongson; GNU C 4.2.1; x)
Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Iridium/44.1 Safari/537.36 Chrome/44.0.2403.157
Mozilla/5.0 (X11; OpenBSD) AppleWebKit/538.15+ Midori/0.5
Links (1.03; OpenBSD 5.8 amd64; text)
Mozilla/5.0 (X11; U; OpenBSD ppc; en-US; rv:1.8.0.10) Gecko/20070223 Firefox/1.5.0.10
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv:1.7.5) Gecko/20050128 Firefox/1.0
Mozilla/5.0 CK={} (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
